# input                                            direction    mode    forward  reverse
U-oneof-group                                    encode       drop          2        1
U-oneof-group                                    decode       drop          1        2
U-oneof-group                                    decode-pull  drop          2        0
U-oneof-group                                    encode       retain        2        1
U-oneof-group                                    decode       retain        1        3
U-oneof-group                                    decode-pull  retain        2        1
U-oneof-interleaved                              encode       drop          2        1
U-oneof-interleaved                              decode       drop          1        2
U-oneof-interleaved                              decode-pull  drop          2        0
U-oneof-interleaved                              encode       retain        2        1
U-oneof-interleaved                              decode       retain        1       10
U-oneof-interleaved                              decode-pull  retain        2        8
U-oneof-member-after-known                       encode       drop          2        1
U-oneof-member-after-known                       decode       drop          1        2
U-oneof-member-after-known                       decode-pull  drop          2        0
U-oneof-member-after-known                       encode       retain        2        1
U-oneof-member-after-known                       decode       retain        1        3
U-oneof-member-after-known                       decode-pull  retain        2        1
U-oneof-member-alone                             encode       drop          2        1
U-oneof-member-alone                             decode       drop          1        2
U-oneof-member-alone                             decode-pull  drop          2        0
U-oneof-member-alone                             encode       retain        2        1
U-oneof-member-alone                             decode       retain        1        3
U-oneof-member-alone                             decode-pull  retain        2        1
U-oneof-member-before-known                      encode       drop          2        1
U-oneof-member-before-known                      decode       drop          1        2
U-oneof-member-before-known                      decode-pull  drop          2        0
U-oneof-member-before-known                      encode       retain        2        1
U-oneof-member-before-known                      decode       retain        1        3
U-oneof-member-before-known                      decode-pull  retain        2        1
U-oneof-u-fixed32                                encode       drop          2        1
U-oneof-u-fixed32                                decode       drop          1        2
U-oneof-u-fixed32                                decode-pull  drop          2        0
U-oneof-u-fixed32                                encode       retain        2        1
U-oneof-u-fixed32                                decode       retain        1        3
U-oneof-u-fixed32                                decode-pull  retain        2        1
U-oneof-u-fixed64                                encode       drop          2        1
U-oneof-u-fixed64                                decode       drop          1        2
U-oneof-u-fixed64                                decode-pull  drop          2        0
U-oneof-u-fixed64                                encode       retain        2        1
U-oneof-u-fixed64                                decode       retain        1        3
U-oneof-u-fixed64                                decode-pull  retain        2        1
U-oneof-u-len                                    encode       drop          2        1
U-oneof-u-len                                    decode       drop          1        2
U-oneof-u-len                                    decode-pull  drop          2        0
U-oneof-u-len                                    encode       retain        2        1
U-oneof-u-len                                    decode       retain        1        3
U-oneof-u-len                                    decode-pull  retain        2        1
U-oneof-u-msg                                    encode       drop          2        1
U-oneof-u-msg                                    decode       drop          1        2
U-oneof-u-msg                                    decode-pull  drop          2        0
U-oneof-u-msg                                    encode       retain        2        1
U-oneof-u-msg                                    decode       retain        1        3
U-oneof-u-msg                                    decode-pull  retain        2        1
U-oneof-u-packed                                 encode       drop          2        1
U-oneof-u-packed                                 decode       drop          1        2
U-oneof-u-packed                                 decode-pull  drop          2        0
U-oneof-u-packed                                 encode       retain        2        1
U-oneof-u-packed                                 decode       retain        1        3
U-oneof-u-packed                                 decode-pull  retain        2        1
