  U-wire-Probe-as-blob-as-wt1        Probe                      positions  3, changed by zeroing  1, entry bytes 0
  U-wire-Probe-as-blob-as-wt5        Probe                      positions  3, changed by zeroing  1, entry bytes 0
  U-wire-Probe-as-int-as-wt1         Probe                      positions  3, changed by zeroing  1, entry bytes 0
  U-wire-Probe-as-int-as-wt2         Probe                      positions  3, changed by zeroing  1, entry bytes 0
  U-wire-Probe-as-int-as-wt5         Probe                      positions  3, changed by zeroing  1, entry bytes 0
  U-wire-Probe-as-stamp-as-wt0       Probe                      positions  3, changed by zeroing  1, entry bytes 0
  U-wire-Probe-as-stamp-as-wt1       Probe                      positions  3, changed by zeroing  1, entry bytes 0
  U-wire-Probe-as-stamp-as-wt5       Probe                      positions  3, changed by zeroing  1, entry bytes 0
  U-wire-Probe-as-text-as-wt0        Probe                      positions  3, changed by zeroing  1, entry bytes 0
  U-wire-Probe-as-text-as-wt1        Probe                      positions  3, changed by zeroing  1, entry bytes 0
  U-wire-Probe-as-text-as-wt5        Probe                      positions  3, changed by zeroing  1, entry bytes 0
  U-wire-Probe-id-as-wt0             Probe                      positions  3, changed by zeroing  1, entry bytes 0
  U-wire-Probe-id-as-wt1             Probe                      positions  3, changed by zeroing  1, entry bytes 0
  U-wire-Probe-id-as-wt5             Probe                      positions  3, changed by zeroing  1, entry bytes 0
  U-wire-Probe-opt-count-as-wt1      Probe                      positions  3, changed by zeroing  1, entry bytes 0
  U-wire-Probe-opt-count-as-wt2      Probe                      positions  3, changed by zeroing  1, entry bytes 0
  U-wire-Probe-opt-count-as-wt5      Probe                      positions  3, changed by zeroing  1, entry bytes 0
  U-wire-Probe-opt-flag-as-wt1       Probe                      positions  3, changed by zeroing  1, entry bytes 0
  U-wire-Probe-opt-flag-as-wt2       Probe                      positions  3, changed by zeroing  1, entry bytes 0
  U-wire-Probe-opt-flag-as-wt5       Probe                      positions  3, changed by zeroing  1, entry bytes 0
  U-wire-Probe-opt-label-as-wt0      Probe                      positions  3, changed by zeroing  1, entry bytes 0
  U-wire-Probe-opt-label-as-wt1      Probe                      positions  3, changed by zeroing  1, entry bytes 0
  U-wire-Probe-opt-label-as-wt5      Probe                      positions  3, changed by zeroing  1, entry bytes 0
  U-wire-ResultRaw-created-at-as-wt0 ResultRaw                  positions  3, changed by zeroing  1, entry bytes 0
  U-wire-ResultRaw-created-at-as-wt1 ResultRaw                  positions  3, changed by zeroing  1, entry bytes 0
  U-wire-ResultRaw-created-at-as-wt5 ResultRaw                  positions  3, changed by zeroing  1, entry bytes 0
  U-wire-ResultRaw-manual-deletion-as-wt1 ResultRaw                  positions  3, changed by zeroing  1, entry bytes 0
  U-wire-ResultRaw-manual-deletion-as-wt2 ResultRaw                  positions  3, changed by zeroing  1, entry bytes 0
  U-wire-ResultRaw-manual-deletion-as-wt5 ResultRaw                  positions  3, changed by zeroing  1, entry bytes 0
  U-wire-ResultRaw-opaque-id-as-wt0  ResultRaw                  positions  3, changed by zeroing  1, entry bytes 0
  U-wire-ResultRaw-opaque-id-as-wt1  ResultRaw                  positions  3, changed by zeroing  1, entry bytes 0
  U-wire-ResultRaw-opaque-id-as-wt5  ResultRaw                  positions  3, changed by zeroing  1, entry bytes 0
  U-wire-ResultRaw-session-id-as-wt0 ResultRaw                  positions  3, changed by zeroing  1, entry bytes 0
  U-wire-ResultRaw-session-id-as-wt1 ResultRaw                  positions  3, changed by zeroing  1, entry bytes 0
  U-wire-ResultRaw-session-id-as-wt5 ResultRaw                  positions  3, changed by zeroing  1, entry bytes 0
  U-wire-ResultRaw-size-as-wt1       ResultRaw                  positions  3, changed by zeroing  1, entry bytes 0
  U-wire-ResultRaw-size-as-wt2       ResultRaw                  positions  3, changed by zeroing  1, entry bytes 0
  U-wire-ResultRaw-size-as-wt5       ResultRaw                  positions  3, changed by zeroing  1, entry bytes 0
  U-wire-ResultRaw-status-as-wt1     ResultRaw                  positions  3, changed by zeroing  1, entry bytes 0
  U-wire-ResultRaw-status-as-wt2     ResultRaw                  positions  3, changed by zeroing  1, entry bytes 0
  U-wire-ResultRaw-status-as-wt5     ResultRaw                  positions  3, changed by zeroing  1, entry bytes 0
  U-wire-Surrogate-attrs-as-wt0      Surrogate                  positions  3, changed by zeroing  1, entry bytes 0
  U-wire-Surrogate-attrs-as-wt1      Surrogate                  positions  3, changed by zeroing  1, entry bytes 0
  U-wire-Surrogate-attrs-as-wt5      Surrogate                  positions  3, changed by zeroing  1, entry bytes 0
  U-wire-Surrogate-nested-as-wt0     Surrogate                  positions  3, changed by zeroing  1, entry bytes 0
  U-wire-Surrogate-nested-as-wt1     Surrogate                  positions  3, changed by zeroing  1, entry bytes 0
  U-wire-Surrogate-nested-as-wt5     Surrogate                  positions  3, changed by zeroing  1, entry bytes 0
  U-wire-Surrogate-raw-as-wt0        Surrogate                  positions  3, changed by zeroing  1, entry bytes 0
  U-wire-Surrogate-raw-as-wt1        Surrogate                  positions  3, changed by zeroing  1, entry bytes 0
  U-wire-Surrogate-raw-as-wt5        Surrogate                  positions  3, changed by zeroing  1, entry bytes 0
  U-wire-Surrogate-text-as-wt0       Surrogate                  positions  3, changed by zeroing  1, entry bytes 0
  U-wire-Surrogate-text-as-wt1       Surrogate                  positions  3, changed by zeroing  1, entry bytes 0
  U-wire-Surrogate-text-as-wt5       Surrogate                  positions  3, changed by zeroing  1, entry bytes 0
  U-wire-Surrogate-texts-as-wt0      Surrogate                  positions  3, changed by zeroing  1, entry bytes 0
  U-wire-Surrogate-texts-as-wt1      Surrogate                  positions  3, changed by zeroing  1, entry bytes 0
  U-wire-Surrogate-texts-as-wt5      Surrogate                  positions  3, changed by zeroing  1, entry bytes 0
  U-wire-SurrogateInner-text-as-wt0  SurrogateInner             positions  1, changed by zeroing  1, entry bytes 0
  U-wire-SurrogateInner-text-as-wt1  SurrogateInner             positions  1, changed by zeroing  1, entry bytes 0
  U-wire-SurrogateInner-text-as-wt5  SurrogateInner             positions  1, changed by zeroing  1, entry bytes 0
  U-wire-TaskDetailed-id-as-wt0      TaskDetailed               positions 17, changed by zeroing  1, entry bytes 0
  U-wire-TaskDetailed-id-as-wt1      TaskDetailed               positions 17, changed by zeroing  1, entry bytes 0
  U-wire-TaskDetailed-id-as-wt5      TaskDetailed               positions 17, changed by zeroing  1, entry bytes 0
  U-wire-TaskDetailed-options-as-wt0 TaskDetailed               positions 17, changed by zeroing  1, entry bytes 0
  U-wire-TaskDetailed-options-as-wt1 TaskDetailed               positions 17, changed by zeroing  1, entry bytes 0
  U-wire-TaskDetailed-options-as-wt5 TaskDetailed               positions 17, changed by zeroing  1, entry bytes 0
  U-wire-TaskDetailed-parent-task-ids-as-wt0 TaskDetailed               positions 17, changed by zeroing  1, entry bytes 0
  U-wire-TaskDetailed-parent-task-ids-as-wt1 TaskDetailed               positions 17, changed by zeroing  1, entry bytes 0
  U-wire-TaskDetailed-parent-task-ids-as-wt5 TaskDetailed               positions 17, changed by zeroing  1, entry bytes 0
  U-wire-TaskDetailed-status-as-wt1  TaskDetailed               positions 17, changed by zeroing  1, entry bytes 0
  U-wire-TaskDetailed-status-as-wt2  TaskDetailed               positions 17, changed by zeroing  1, entry bytes 0
  U-wire-TaskDetailed-status-as-wt5  TaskDetailed               positions 17, changed by zeroing  1, entry bytes 0
  U-wire-TaskOptions-max-duration-as-wt0 TaskOptions                positions  3, changed by zeroing  1, entry bytes 0
  U-wire-TaskOptions-max-duration-as-wt1 TaskOptions                positions  3, changed by zeroing  1, entry bytes 0
  U-wire-TaskOptions-max-duration-as-wt5 TaskOptions                positions  3, changed by zeroing  1, entry bytes 0
  U-wire-TaskOptions-max-retries-as-wt1 TaskOptions                positions  3, changed by zeroing  1, entry bytes 0
  U-wire-TaskOptions-max-retries-as-wt2 TaskOptions                positions  3, changed by zeroing  1, entry bytes 0
  U-wire-TaskOptions-max-retries-as-wt5 TaskOptions                positions  3, changed by zeroing  1, entry bytes 0
  U-wire-TaskOptions-options-as-wt0  TaskOptions                positions  3, changed by zeroing  1, entry bytes 0
  U-wire-TaskOptions-options-as-wt1  TaskOptions                positions  3, changed by zeroing  1, entry bytes 0
  U-wire-TaskOptions-options-as-wt5  TaskOptions                positions  3, changed by zeroing  1, entry bytes 0
  U-wire-TaskOptions-partition-id-as-wt0 TaskOptions                positions  3, changed by zeroing  1, entry bytes 0
  U-wire-TaskOptions-partition-id-as-wt1 TaskOptions                positions  3, changed by zeroing  1, entry bytes 0
  U-wire-TaskOptions-partition-id-as-wt5 TaskOptions                positions  3, changed by zeroing  1, entry bytes 0
  U-wire-TaskOutput-error-as-wt0     TaskOutput                 positions  1, changed by zeroing  1, entry bytes 0
  U-wire-TaskOutput-error-as-wt1     TaskOutput                 positions  1, changed by zeroing  1, entry bytes 0
  U-wire-TaskOutput-error-as-wt5     TaskOutput                 positions  1, changed by zeroing  1, entry bytes 0
  U-wire-TaskOutput-success-as-wt1   TaskOutput                 positions  1, changed by zeroing  1, entry bytes 0
  U-wire-TaskOutput-success-as-wt2   TaskOutput                 positions  1, changed by zeroing  1, entry bytes 0
  U-wire-TaskOutput-success-as-wt5   TaskOutput                 positions  1, changed by zeroing  1, entry bytes 0
